BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
1,"0521685672","Cox2006","Cox, David Roxbee","Principles of statistical inference","",,,"","219",2006,"","","http://books.google.com/books?id=EMYWpoVn7vcC\&pgis=1","","","","","","Cambridge University Press","","","","","","","","","","",""
7,"","Dunstan2010","Dunstan, D W; Barr, E L M; Healy, G N; Salmon, J; Shaw, J E; Balkau, B; Magliano, D J; Cameron, A J; Zimmet, P Z & Owen, N","Television viewing time and mortality: the Australian Diabetes, Obesity and Lifestyle Study (AusDiab).","Circulation",121,3,"January","384--91",2010,"","","http://circ.ahajournals.org/cgi/content/abstract/121/3/384","","","","","","","","","","","","","","","Adult,Aged,Australia,Australia: epidemiology,Cardiovascular Diseases,Cardiovascular Diseases: mortality,Cardiovascular Diseases: prevention \& control,Cohort Studies,Diabetes Mellitus,Diabetes Mellitus: mortality,Exercise,Female,Follow-Up Studies,Humans,Life Style,Male,Middle Aged,Neoplasms,Neoplasms: mortality,Obesity,Obesity: mortality,Risk Factors,Risk Reduction Behavior,Television,Television: statistics \& numerical data","",""
7,"","Gems2003","Gems, David","Is more life always better? The new biology of aging and the meaning of life.","The Hastings Center Report",33,4,"","31--39",2003,"","","","","","","","","","","","Biology Department, University College, London, England.","","","","","","analytical approach,death euthanasia,philosophical approach","",""
7,"","Goodman2007","Goodman, Steven","ASSESSING THE UNRELIABILITY OF THE MEDICAL LITERATURE : A RESPONSE TO â€œ WHY MOST PUBLISHED RESEARCH FINDINGS ARE FALSE â€� ASSESSING THE UNRELIABILITY OF THE MEDICAL LITERATURE : A RESPONSE TO â€œ WHY MOST PUBLISHED RESEARCH FINDINGS ARE FALSE â€�","Statistics",,,"","",2007,"","","","","","","","","","","","","","","","","","","",""
10,"","Goodman2008","Goodman, Steven & Greenland, Sander","PLoS Med","",5,1,"","e15",2008,"","","","","","","","","","","","","","","","","","comment,editorial,england,government programs,health behavior,health education,humans,information dissemination,life expectancy,life style,motivation,obesity,persuasive communication,public health,research,smoking cessation,social change","",""
10,"","Goodman2007a","Goodman, Steven & Greenland, Sander","Assessing the Unreliability of the Medical Literature: A Response to "Why Most Published Research Findings Are False"","",,,"","",2007,"","","http://www.bepress.com/jhubiostat/paper135","","","","","","","","","","","","","","","","",""
7,"","Goodman2007b","Goodman, Steven & Greenland, Sander","Why Most Published Research Findings Are False: Problems in the Analysis","PLoS Medicine",4,4,"","1",2007,"","","http://www.ncbi.nlm.nih.gov/pubmed/17253901","","","","Dept of biostatistics working papers","","Public Library of Science","","","Johns Hopkins University","","","","","","","",""
7,"","Hamilton2007","Hamilton, Marc T; Hamilton, Deborah G & Zderic, Theodore W","Role of low energy expenditure and sitting in obesity, metabolic syndrome, type 2 diabetes, and cardiovascular disease.","Diabetes",56,11,"November","2655--67",2007,"","","http://diabetes.diabetesjournals.org/cgi/content/abstract/56/11/2655","","","","","","","","","","","","","","","Cardiovascular Diseases,Cardiovascular Diseases: epidemiology,Cardiovascular Diseases: mortality,Cardiovascular Diseases: prevention \& control,Diabetes Mellitus, Type 2,Diabetes Mellitus, Type 2: epidemiology,Diabetes Mellitus, Type 2: prevention \& control,Energy Metabolism,Energy Metabolism: physiology,Exercise,Female,Humans,Life Style,Male,Metabolic Syndrome X,Metabolic Syndrome X: epidemiology,Metabolic Syndrome X: prevention \& control,Middle Aged,Motor Activity,Motor Activity: physiology,Posture,Public Health","",""
7,"","Hasler2006","Hasler, William L","Gas and Bloating","Hepatology",2,9,"","",2006,"","","","","","","","","","","","","","","","","","bacterial overgrowth,belching,eructation,functional bowel disorders,gastrointestinal transit","",""
7,"","Ioannidis2007","Ioannidis, John P A","Why Most Published Research Findings Are False: Author's Reply to Goodman and Greenland","PLoS Medicine",4,6,"","2",2007,"","","http://medicine.plosjournals.org/perlserv/?request=get-document\&doi=10.1371/journal.pmed.0020124","","","","","","Public Library of Science","","","TU Dresden","","","","","","","",""
10,"","Ioannidis2005","Ioannidis, John P A","Why most published research findings are false.","",2,8,"August","e124",2005,"","","http://dx.plos.org/10.1371/journal.pmed.0020124","PLoS medicine","","","","","Public Library of Science","","","","","","","","","Bias (Epidemiology),Data Interpretation, Statistical,Likelihood Functions,Meta-Analysis as Topic,Odds Ratio,Publishing,Reproducibility of Results,Research Design,Sample Size,Statistical","",""
1,"0309068371","Kohn2000","Kohn, Linda T.; Corrigan, Janet; Donaldson, Molla S. & in America, Institute of Medicine U.S.. Committee on Quality of Health Care","To err is human: building a safer health system, Volume 6","",,,"","287",2000,"","","http://books.google.com/books?id=JInZiZnUyicC\&pgis=1","","","","","","National Academies Press","","","","","","","","","","",""
7,"","Kuramoto2008","Kuramoto, Lisa; Sobolev, Boris G & Donaldson, Meghan G","On reporting results from randomized controlled trials with recurrent events.","BMC medical research methodology",8,,"January","35",2008,"","","http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2438437\&tool=pmcentrez\&rendertype=abstract","","","","","","","","","","","","","","","Accidental Falls,Accidental Falls: prevention \& control,Accidental Falls: statistics \& numerical data,Data Interpretation, Statistical,Evidence-Based Medicine,Evidence-Based Medicine: methods,Humans,Models, Statistical,Poisson Distribution,Proportional Hazards Models,Randomized Controlled Trials as Topic,Randomized Controlled Trials as Topic: methods,Recurrence,Recurrence: prevention \& control,Regression Analysis,Research Design,Risk Assessment","",""
1,"0521856159","Morgan2007","Morgan, Stephen Lawrence & Winship, Christopher","Counterfactuals and causal inference: methods and principles for social research","",,,"","319",2007,"","","http://books.google.com/books?hl=en\&lr=\&id=lFTP49c5wJoC\&pgis=1","","","","","","Cambridge University Press","","","","","","","","","","",""
1,"0521856159","Morgan2007a","Morgan, Stephen Lawrence & Winship, Christopher","Counterfactuals and causal inference: methods and principles for social research","",,,"","319",2007,"","","http://books.google.com/books?id=lFTP49c5wJoC\&pgis=1","","","","","","Cambridge University Press","","","","","","","","","","",""
7,"","Phillips2004","Phillips, Christopher O; Wright, Scott M; Kern, David E; Singa, Ramesh M; Shepperd, Sasha & Rubin, Haya R","Comprehensive discharge planning with postdischarge support for older patients with congestive heart failure: a meta-analysis.","JAMA : the journal of the American Medical Association",291,11,"March","1358--67",2004,"","","http://jama.ama-assn.org/cgi/content/abstract/291/11/1358","","","","","","","","","","","","","","","Aged,Continuity of Patient Care,Health Care Costs,Heart Failure,Heart Failure: mortality,Heart Failure: therapy,Humans,Length of Stay,Outcome and Process Assessment (Health Care),Patient Discharge,Patient Readmission,Quality of Life","",""
7,"","Schulz2010","Schulz, K. F; Altman, D. G & Moher, D.","CONSORT 2010 Statement: updated guidelines for reporting parallel group randomised trials","BMJ",340,mar23 1,"March","c332--c332",2010,"","","http://www.bmj.com","","","","","","","","","","","","","","","","",""
7,"","Tabak2007","Tabak, Ying P; Johannes, Richard S & Silber, Jeffrey H","Using automated clinical data for risk adjustment: development and validation of six disease-specific mortality predictive models for pay-for-performance.","Medical Care",45,8,"","789--805",2007,"","","http://www.ncbi.nlm.nih.gov/pubmed/17667314","","","","","","","","","Department of Clinical Research, Cardinal Health's MediQual Business, Marlborough, MA 01752, USA. ying.tabak@cardinal.com","","","","","","","",""
7,"","Tabak2010","Tabak, Ying P; Sun, Xiaowu; Derby, Karen G; Kurtz, Stephen G & Johannes, Richard S","Development and validation of a disease-specific risk adjustment system using automated clinical data.","Health services research",45,6 Pt 1,"December","1815--35",2010,"","","http://www.ncbi.nlm.nih.gov/pubmed/20545780","","","","","","","","","","","","","","","Automatic Data Processing,Disease,Hospital Mortality,Humans,Risk Adjustment,Risk Adjustment: statistics \& numerical data","",""
1,"1592602916","Trochim2008","Trochim, William M. K. & Donnelly, James P.","The Research Methods Knowledge Base","",,,"","361",2008,"","","http://books.google.com/books?id=097mAAAACAAJ\&pgis=1","","","Third","","","Atomic Dog Publishing","","","","","","","","","","",""
